0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
291.2,629.0,291.4,17.0,291.1,598.0,291.5,547.0,291.0,1310.0,291.6,561.0,290.9,453.0,291.7,549.0,290.8,680.0,291.8,451.0,290.7,795.0,291.9,540.0,290.6,473.0,292.0,339.0,290.5,906.0,292.1,664.0,290.4,169.0,292.2,762.0,290.3,209.0,292.3,1587.0
291.2,629.0,291.4,17.0,291.1,598.0,291.5,547.0,291.0,1310.0,291.6,561.0,290.9,453.0,291.7,549.0,290.8,680.0,291.8,451.0,290.7,795.0,291.9,540.0,290.6,473.0,292.0,339.0,290.5,906.0,292.1,664.0,290.4,169.0,292.2,762.0,290.3,209.0,292.3,1587.0
291.2,629.0,291.4,17.0,291.1,566.0,291.5,547.0,291.0,1310.0,291.6,561.0,290.9,453.0,291.7,549.0,290.8,680.0,291.8,451.0,290.7,795.0,291.9,540.0,290.6,473.0,292.0,339.0,290.5,906.0,292.1,664.0,290.4,169.0,292.2,762.0,290.3,209.0,292.3,1587.0
291.3,40.0,291.4,17.0,291.2,629.0,291.5,547.0,291.1,566.0,291.6,561.0,291.0,1310.0,291.7,549.0,290.9,453.0,291.8,451.0,290.8,680.0,291.9,540.0,290.7,795.0,292.0,339.0,290.6,473.0,292.1,664.0,290.5,906.0,292.2,762.0,290.4,169.0,292.3,1587.0
291.3,40.0,291.4,17.0,291.2,629.0,291.5,547.0,291.1,566.0,291.6,561.0,291.0,1310.0,291.7,549.0,290.9,453.0,291.8,451.0,290.8,680.0,291.9,540.0,290.7,795.0,292.0,339.0,290.6,473.0,292.1,664.0,290.5,906.0,292.2,762.0,290.4,169.0,292.3,1587.0
291.3,40.0,291.4,17.0,291.2,659.0,291.5,547.0,291.1,566.0,291.6,561.0,291.0,1310.0,291.7,549.0,290.9,453.0,291.8,451.0,290.8,680.0,291.9,540.0,290.7,795.0,292.0,339.0,290.6,473.0,292.1,664.0,290.5,906.0,292.2,762.0,290.4,169.0,292.3,1587.0
291.3,85.0,291.4,17.0,291.2,659.0,291.5,547.0,291.1,566.0,291.6,561.0,291.0,1310.0,291.7,549.0,290.9,453.0,291.8,451.0,290.8,680.0,291.9,540.0,290.7,795.0,292.0,339.0,290.6,473.0,292.1,664.0,290.5,906.0,292.2,762.0,290.4,169.0,292.3,1587.0
291.3,85.0,291.4,17.0,291.2,659.0,291.5,547.0,291.1,566.0,291.6,561.0,291.0,1310.0,291.7,549.0,290.9,453.0,291.8,451.0,290.8,680.0,291.9,540.0,290.7,795.0,292.0,339.0,290.6,473.0,292.1,664.0,290.5,906.0,292.2,762.0,290.4,169.0,292.3,1587.0
291.3,120.0,291.4,17.0,291.2,659.0,291.5,547.0,291.1,566.0,291.6,561.0,291.0,1310.0,291.7,549.0,290.9,453.0,291.8,451.0,290.8,680.0,291.9,540.0,290.7,795.0,292.0,339.0,290.6,473.0,292.1,664.0,290.5,906.0,292.2,762.0,290.4,169.0,292.3,1587.0
291.3,120.0,291.4,17.0,291.2,520.0,291.5,547.0,291.1,566.0,291.6,561.0,291.0,1310.0,291.7,549.0,290.9,453.0,291.8,451.0,290.8,680.0,291.9,540.0,290.7,795.0,292.0,339.0,290.6,473.0,292.1,664.0,290.5,906.0,292.2,762.0,290.4,169.0,292.3,1587.0
